ioc_value,return_value
139.28.36.84,true
65.108.24.114,true
47.99.98.42,true
41.227.202.142,true
72.27.102.76,true
3.142.167.4,true
3.67.62.142,true
91.92.254.42,true
51.81.69.127,true
191.233.28.7,true
81.214.129.138,true
45.195.76.82,true
3.22.66.152,true
3.142.81.166,true
3.19.130.43,true
3.142.167.54,true
13.58.157.220,true
103.86.131.107,true
47.76.34.199,true
18.192.93.86,true
20.42.56.4,true
141.98.7.15,true
3.69.115.178,true
3.66.38.117,true
105.96.242.45,true
103.86.131.69,true
101.34.251.178,true